nome,idade,massa corporal,sexo
Ana,23,58,F
Carlos,34,82,M
Mariana,29,65,F
João,41,90,M
Fernanda,27,70,F
Pedro,36,85,M
Luiza,22,55,F
Ricardo,45,92,M
Camila,31,68,F
André,28,77,M
Beatriz,26,60,F
Felipe,33,80,M
Sofia,24,54,F
Gustavo,39,88,M
Isabela,30,62,F
Marcelo,42,95,M
Patrícia,25,59,F
Rafael,37,83,M
Juliana,32,66,F
Daniel,40,91,M
Larissa,21,53,F
Eduardo,35,84,M
Tatiane,29,64,F
Bruno,38,87,M
Carolina,27,61,F
Thiago,44,93,M
Renata,28,67,F
Diego,31,79,M
Paula,23,57,F
Leonardo,46,96,M
Aline,26,63,F
Rodrigo,34,82,M
Vanessa,30,69,F
Hugo,41,89,M
Natália,25,58,F
Samuel,36,86,M
Cláudia,33,65,F
Mateus,39,90,M
Débora,22,56,F
Alexandre,43,94,M
Priscila,29,62,F
Fábio,37,85,M
Mônica,27,60,F
Vitor,32,78,M
Helena,24,55,F
Luciano,40,92,M
Gabriela,28,66,F
Sérgio,35,88,M
Daniela,31,64,F
Maurício,45,97,M
